Link,Price_BYN,Price_USD,Model,City,Year,Type_transmission,Vol_drive,Type_fuel,Km,Type_car
https://cars.av.by/bmw/5-seriya/101384374,35870,13250,"BMW 5 серия E60, E61",Орша,2008,механика,2.0, дизель,380000,универсал
https://cars.av.by/bmw/5-seriya/101302432,24906,9200,"BMW 5 серия E60, E61",Борисов,2004,механика,2.5, бензин,273000,седан
https://cars.av.by/bmw/5-seriya/101298440,22740,8400,"BMW 5 серия E60, E61",Минск,2004,автомат,3.0, дизель,300000,седан
https://cars.av.by/bmw/5-seriya/101246909,32484,11999,"BMW 5 серия E60, E61",Минск,2007,автомат,3.0, бензин,408929,универсал
https://cars.av.by/bmw/5-seriya/101169154,27072,10000,"BMW 5 серия E60, E61",Минск,2007,механика,2.0, дизель,450000,седан
https://cars.av.by/bmw/5-seriya/100606637,25718,9500,"BMW 5 серия E60, E61",Мстиславль,2007,автомат,3.0, бензин,197000,седан
https://cars.av.by/bmw/5-seriya/100847817,25718,9500,"BMW 5 серия E60, E61",Рогачев,2004,автомат,2.5, дизель,420000,универсал
https://cars.av.by/bmw/5-seriya/101313924,29779,11000,"BMW 5 серия E60, E61",Брест,2009,автомат,3.0, бензин,250000,седан
https://cars.av.by/bmw/5-seriya/101087913,23011,8500,"BMW 5 серия E60, E61",Гомель,2006,автомат,2.5, бензин,239000,седан
https://cars.av.by/bmw/5-seriya/101229431,34923,12900,"BMW 5 серия E60, E61",Минск,2007,автомат,2.0, дизель,273000,универсал
https://cars.av.by/bmw/5-seriya/101351221,28426,10500,"BMW 5 серия E60, E61",Минск,2007,автомат,2.5, бензин,240000,седан
https://cars.av.by/bmw/5-seriya/101384585,24771,9150,"BMW 5 серия E60, E61",Минск,2004,автомат,4.4, бензин,325000,седан
https://cars.av.by/bmw/5-seriya/100452737,18274,6750,"BMW 5 серия E60, E61",Бобруйск,2003,механика,2.5, бензин,398000,седан
https://cars.av.by/bmw/5-seriya/101229524,24636,9100,"BMW 5 серия E60, E61",Минск,2004,автомат,3.0, бензин,235000,седан
https://cars.av.by/bmw/5-seriya/101090712,27072,10000,"BMW 5 серия E60, E61",Кричев,2004,автомат,2.5, дизель,480000,седан
https://cars.av.by/bmw/5-seriya/101321372,34381,12700,"BMW 5 серия E60, E61",Могилев,2008,автомат,2.0, дизель,390000,универсал
https://cars.av.by/bmw/5-seriya/101357622,30591,11300,"BMW 5 серия E60, E61",Минск,2008,механика,2.0, дизель,285000,седан
https://cars.av.by/bmw/5-seriya/101387748,40608,15000,"BMW 5 серия E60, E61",Минск,2007,автомат,2.8, бензин,260000,седан
https://cars.av.by/bmw/5-seriya/101378821,19763,7300,"BMW 5 серия E60, E61",Ивацевичи,2005,автомат,2.5, бензин,320000,седан
https://cars.av.by/bmw/5-seriya/100738754,25177,9300,"BMW 5 серия E60, E61",Гомель,2004,автомат,2.5, дизель,339000,седан
https://cars.av.by/bmw/5-seriya/101112911,29102,10750,"BMW 5 серия E60, E61",Круглое,2004,автомат,3.0, дизель,364000,седан
https://cars.av.by/bmw/5-seriya/101343670,37359,13800,"BMW 5 серия E60, E61",Могилев,2008,автомат,2.5, бензин,214000,седан
https://cars.av.by/bmw/5-seriya/101387701,27613,10200,"BMW 5 серия E60, E61",Минск,2007,автомат,3.0, бензин,220000,седан
https://cars.av.by/bmw/5-seriya/101387654,25718,9500,"BMW 5 серия E60, E61",Любань,2005,автомат,4.4, бензин,300000,седан
https://cars.av.by/bmw/5-seriya/101126730,24362,8999,"BMW 5 серия E60, E61",Витебск,2007,автомат,3.0, бензин,300000,седан
https://cars.av.by/bmw/5-seriya/101179040,23011,8500,"BMW 5 серия E60, E61",Рогачев,2004,механика,2.2, бензин,340000,седан
https://cars.av.by/bmw/5-seriya/101047285,19492,7200,"BMW 5 серия E60, E61",Бобруйск,2006,автомат,3.0, бензин,200000,седан
https://cars.av.by/bmw/5-seriya/101115017,37901,14000,"BMW 5 серия E60, E61",Бобруйск,2008,автомат,3.0, дизель,309500,седан
https://cars.av.by/bmw/5-seriya/101170181,24906,9200,"BMW 5 серия E60, E61",Гомель,2006,автомат,2.5, бензин,289353,седан
https://cars.av.by/bmw/5-seriya/101168256,24906,9200,"BMW 5 серия E60, E61",Брест,2007,автомат,2.5, бензин,286000,седан
https://cars.av.by/bmw/5-seriya/101168134,25989,9600,"BMW 5 серия E60, E61",Столбцы,2004,механика,2.5, бензин,300000,седан
https://cars.av.by/bmw/5-seriya/101126624,23553,8700,"BMW 5 серия E60, E61",Гродно,2004,механика,2.5, бензин,263000,седан
https://cars.av.by/bmw/5-seriya/100211295,41962,15500,"BMW 5 серия E60, E61",Мозырь,2004,механика,3.0, дизель,350000,седан
https://cars.av.by/bmw/5-seriya/101115288,22334,8250,"BMW 5 серия E60, E61",Гродно,2003,механика,2.2, бензин,265000,седан
https://cars.av.by/bmw/5-seriya/101101087,23011,8500,"BMW 5 серия E60, E61",Витебск,2006,автомат,2.5, бензин,298000,седан
https://cars.av.by/bmw/5-seriya/101100402,28155,10400,"BMW 5 серия E60, E61",Витебск,2006,механика,2.5, бензин,360000,седан
https://cars.av.by/bmw/5-seriya/100705195,35194,13000,"BMW 5 серия E60, E61",Минск,2005,автомат,3.5, дизель,230000,универсал
https://cars.av.by/bmw/5-seriya/101093154,28696,10600,"BMW 5 серия E60, E61",Гродно,2007,автомат,2.0, бензин,399625,седан
https://cars.av.by/bmw/5-seriya/100842225,24906,9200,"BMW 5 серия E60, E61",Брест,2005,автомат,3.0, бензин,230000,седан
https://cars.av.by/bmw/5-seriya/101082100,19492,7200,"BMW 5 серия E60, E61",Минск,2004,автомат,2.2, бензин,294000,седан
https://cars.av.by/bmw/5-seriya/101010571,32486,12000,"BMW 5 серия E60, E61",Молодечно,2007,автомат,3.0, дизель,301000,универсал
https://cars.av.by/bmw/5-seriya/101067151,27072,10000,"BMW 5 серия E60, E61",Могилев,2006,автомат,3.0, дизель,380000,седан
https://cars.av.by/bmw/5-seriya/100876985,38172,14100,"BMW 5 серия E60, E61",Брест,2008,автомат,2.5, дизель,251100,седан
https://cars.av.by/bmw/5-seriya/100896335,19763,7300,"BMW 5 серия E60, E61",Мозырь,2006,автомат,2.5, бензин,260000,седан
https://cars.av.by/bmw/5-seriya/101028945,29779,11000,"BMW 5 серия E60, E61",Полоцк,2006,автомат,2.5, дизель,331100,седан
https://cars.av.by/bmw/5-seriya/100974453,28426,10500,"BMW 5 серия E60, E61",Минск,2009,автомат,2.0, бензин,198000,седан
https://cars.av.by/bmw/5-seriya/100972218,24906,9200,"BMW 5 серия E60, E61",Брест,2006,автомат,2.5, бензин,275000,седан
https://cars.av.by/bmw/5-seriya/100942989,31133,11500,"BMW 5 серия E60, E61",Минск,2007,механика,3.0, дизель,263000,универсал
https://cars.av.by/bmw/5-seriya/100937370,32486,12000,"BMW 5 серия E60, E61",Витебск,2009,автомат,3.0, бензин,250000,седан
https://cars.av.by/bmw/5-seriya/19923426,40605,14999,"BMW 5 серия E60, E61",Минск,2006,автомат,3.0, дизель,209000,универсал
https://cars.av.by/bmw/5-seriya/100872771,32216,11900,"BMW 5 серия E60, E61",Брест,2004,автомат,2.5, дизель,318000,седан
https://cars.av.by/bmw/5-seriya/100871812,25718,9500,"BMW 5 серия E60, E61",Витебск,2006,автомат,2.5, бензин,272000,седан
https://cars.av.by/bmw/5-seriya/100849607,24229,8950,"BMW 5 серия E60, E61",Пинск,2004,механика,2.5, бензин,267000,седан
https://cars.av.by/bmw/5-seriya/100498057,28696,10600,"BMW 5 серия E60, E61",Слоним,2006,механика,2.0, дизель,322000,седан
https://cars.av.by/bmw/5-seriya/100748835,24094,8900,"BMW 5 серия E60, E61",Минск,2004,механика,3.0, бензин,370000,седан
https://cars.av.by/bmw/5-seriya/17644706,39254,14500,"BMW 5 серия E60, E61",Минск,2009,автомат,3.0, бензин,200000,седан
https://cars.av.by/bmw/5-seriya/101377358,67409,24900,"BMW 5 серия E60, E61",Минск,2007,автомат,3.5, дизель,225000,седан
https://cars.av.by/bmw/5-seriya/100983664,28155,10400,"BMW 5 серия E60, E61",Столин,2004,механика,3.0, дизель,478019,седан
https://cars.av.by/bmw/5-seriya/101126472,40337,14900,"BMW 5 серия E60, E61",Минск,2006,автомат,3.0, дизель,417913,седан
